,wt_fe2_1,wt_fe2_2,wt_dpd_1,wt_dpd_2,delfur_fe2_1,delfur_fe2_2,delfur_dpd_1,delfur_dpd_2
b1442,31,29,45,61,46,34,71,58
b1443,16,16,51,46,19,33,68,94
b1444,134,92,352,324,169,141,337,324
b1445,126,117,26,32,126,132,42,40
b1446,892,696,1187,1039,890,864,1223,867
b1447,93,84,122,100,93,85,315,289
b1448,412,357,1134,823,478,532,2326,2453
b1449,350,232,2472,2238,469,495,2686,2436
b1450,174,137,634,533,261,281,791,748
b1451,562,397,885,761,606,589,910,947
b1452,3146,2375,13835,9254,27279,24512,13960,14519
b1453,220,174,46,49,78,104,44,43
b1454,71,46,456,395,75,95,508,447
b1455,2,0,5,4,0,2,3,3
b1457,24,17,11,15,17,18,13,16
b1460,16,19,11,9,24,31,8,11
b1461,224,225,275,225,292,302,331,244
b1462,43,45,241,211,72,72,213,192
b1463,89,65,364,285,199,195,221,226
b1464,503,457,813,672,554,492,822,838
b1465,26,22,35,55,24,16,36,43
b1466,14,18,51,64,12,9,46,59
b1467,106,79,162,191,58,50,208,169
b1468,306,319,457,491,129,134,570,577
b1469,76,60,50,60,15,16,106,87
b1473,178,147,152,127,238,260,152,155
b1474,76,56,123,141,60,46,107,96
b1475,18,10,36,22,12,17,21,24
b1476,21,28,66,55,37,44,44,57
b1477,191,126,628,674,227,207,663,562
b1478,1156,825,10427,10229,1814,1902,9524,10183
b1479,4511,3707,3685,3099,4373,3806,3452,3756
b1480,6373,5390,12258,7481,10133,10422,17328,10312
b1481,42,23,349,348,99,98,743,638
b1482,2445,1976,20058,16437,4349,4507,20694,13368
b1483,47,33,44,42,40,36,65,55
b1484,62,44,79,85,29,43,63,65
b1485,48,25,48,43,28,42,47,32
b1486,45,21,31,29,29,20,31,32
b1487,190,157,248,217,129,115,174,209
b1488,69,56,53,59,48,40,63,49
b1489,296,246,1719,1802,442,450,1589,1657
b1490,360,307,3073,3152,637,610,2677,2387
b1491,678,615,415,321,699,656,394,406
b1492,3883,2534,13357,11423,2252,2297,22235,20002
b1493,6539,4539,31805,28192,3964,3887,54193,55674
b1494,285,235,870,481,1467,1387,2779,3238
b1495,147,142,1211,631,1251,1207,3666,4183
b1496,54,27,338,174,372,357,985,1119
b1497,13,18,10,9,11,18,11,13
b1498,114,115,19,17,149,125,24,30
b1499,17,15,13,6,27,20,16,16
b1500,3,1,1,1,3,0,1,1
b1501,137,101,160,185,189,186,194,166
b1502,8,12,7,16,17,19,14,7
b1503,10,4,6,9,7,11,6,6
b1504,10,5,8,5,17,19,5,9
b1507,317,254,507,398,343,360,427,463
b1508,85,86,112,77,120,101,84,76
b1511,127,103,211,166,192,156,174,163
b1512,150,116,197,176,170,146,124,162
b1513,24,32,48,43,26,40,39,42
b1514,19,17,38,25,19,28,33,29
b1515,11,8,22,18,12,9,20,23
b1516,29,47,101,85,63,56,87,68
b1517,47,51,113,109,69,69,98,126
b1518,14,20,31,34,33,27,37,21
b1519,343,277,1592,1554,472,515,1612,1597
b1520,332,318,311,293,341,385,352,362
b1521,54,50,139,142,73,67,127,109
b1522,84,63,70,76,86,73,92,82
b1523,126,107,128,100,104,115,115,107
b1524,390,304,358,312,307,300,399,402
b1525,347,289,527,433,338,358,487,532
b1526,181,155,309,248,223,190,264,300
b1527,12,18,12,11,32,25,16,21
b1528,247,197,475,369,267,239,408,399
b1529,275,200,565,628,268,266,637,609
b1530,107,85,106,94,213,197,80,88
b1531,230,206,215,193,519,457,192,193
b1532,43,30,15,16,73,70,20,20
b1533,492,316,453,407,397,436,465,503
b1534,70,59,266,265,65,68,367,414
b1535,108,78,127,100,126,132,202,206
b1536,113,85,1049,1120,192,188,1576,1354
b1537,51,29,556,561,98,111,770,528
b1538,2408,1943,3035,2306,2561,2404,2998,3058
b1539,2957,2555,2449,1918,2343,2208,2489,1961
b1540,678,557,436,374,586,600,524,571
b1541,196,132,28,29,47,30,43,37
b1542,60,52,136,114,107,110,128,161
b1544,0,0,0,0,0,0,1,0
b1545,0,0,0,0,0,0,1,0
b1546,34,33,69,59,34,41,70,74
b1547,22,16,34,29,22,18,33,27
b1549,5,11,2,3,3,7,3,2
b1550,1185,1036,299,216,1227,1206,394,306
b1551,1,0,3,0,0,1,2,3
b1552,5,5,3,5,10,11,16,13
b1553,0,0,0,0,1,2,0,1
b1554,2,2,4,5,2,3,1,12
b1555,2,2,6,1,3,5,6,2
b1556,2,1,0,1,3,1,1,3
b1557,49,36,14,13,38,40,16,11
b1558,28,21,4,2,21,19,3,0
b1559,27,22,94,67,32,38,81,46
b1560,3,8,16,8,13,8,13,12
b1561,19,15,14,13,20,32,25,12
b1562,234,220,549,684,338,313,591,653
b1563,213,211,505,406,347,318,402,310
b1564,186,151,258,299,270,219,252,275
b1565,13,8,15,24,18,18,11,22
b1566,32,27,74,53,57,50,85,61
b1569,7,4,20,8,6,5,11,16
b1570,548,541,587,595,624,674,589,583
b1571,7,4,2,3,2,3,2,4
b1572,2,2,2,6,3,1,7,1
b1573,23,6,29,22,21,8,26,38
b1575,3,3,1,3,1,0,0,0
b1576,1,1,3,4,2,3,4,3
b1580,28,19,48,32,23,36,41,31
